date,txCount,marketcap,price,exchangeVolume,generatedCoins,fees,activeAddresses,medianTxValue,medianFee,averageDifficulty,paymentCount,blockSize,blockCount
2019-07-01,44244,861103128.614691,0.78219,1156648679,24433.25,12.8709359386596,12901,3.9105098412,2.1E-05,111702522456231,33090,8931626,6098
2019-07-02,39761,867017353.423377,0.781763,1170920227,24342,13.6085951085197,12517,4.74325134686792,2.31E-05,113915282102738,31408,8487984,6074
2019-07-03,53523,861189476.649301,0.777354,1175890048,24317.5,14.828303632227,25642,1.28585952879,2.31E-05,109521610453899,45416,10042259,6069
2019-07-04,40765,875691779.402062,0.772527,1216912857,24563.5,12.8989417033722,13077,4.04169722005247,2.31E-05,108860788056253,31356,8562121,6130
2019-07-05,43438,866230784.725765,0.771917,1311469891,24478.5,12.9080503888603,12747,3.97452572930877,2.31E-05,111975672830812,33524,8858536,6109
2019-07-06,42892,876627422.668374,0.768666,1314400000,24670.75,11.6851398110355,12733,3.96384927801376,2.1E-05,114193535623388,32163,8726442,6157
2019-07-07,40020,873078313.37831,0.767199,1324419968,24281.5,11.6916349010828,12950,4.577035969495,2.31E-05,113056741412959,32423,8240228,6060
2019-07-08,37625,890597055.465087,0.759591,1367951558,24377.5,12.3011939419511,12513,7.76479583090338,2.31E-05,110813022644442,31766,7977421,6086
2019-07-09,39524,896353385.744627,0.752345,1407240749,24349.5,11.8065921829531,12501,5.2450361620376,2.31E-05,109176453181347,31632,8252232,6079
2019-07-10,43604,884012824.060357,0.748118,1640679936,24174.25,12.6923380278424,12638,3.99893626702447,2.1E-05,108714388927115,32244,8869181,6032
2019-07-11,41669,817243550.799397,0.747475,1733939968,24625.25,13.0514542445911,12470,4.83894989103296,2.31E-05,108772309494115,32432,8679312,6146
2019-07-12,40061,742666472.740088,0.604737,1733939968,24443.5,13.4180601857354,12135,3.96076660161482,2.31E-05,107748497218631,32109,8487047,6102
