date,txCount,marketcap,price,exchangeVolume,generatedCoins,fees,activeAddresses,medianTxValue,medianFee,averageDifficulty,paymentCount,blockSize,blockCount
2016-07-24,25256,61916077.673587,43.86,267367,54662.5,19.6850084924531,14737,0.76067399331495,0.000480631947033,1425783515388.11,16774,9484872,9388
2016-07-25,25432,76700649.6773749,42.89,270799,31262.5,23.0742824186746,12148,0.953682904951765,0.000482016876138,3263196676829.09,16582,6990037,5648
2016-07-26,31020,49836233.8789412,42.68,272128,45913.4375,25.8289033522317,16391,0.673014749345505,0.000487161159009,4324493258208.05,21439,9372983,7750
2016-07-27,34042,202708595.5875,42.42,273020,33052.34375,26.825699903508,17978,2.46,0.000475371309557,8546119161600,19589,8353485,5721
2016-07-28,23447,128417421.780347,41.12,308654,33480.46875,21.717353474209,11376,1.716,0.00050868,6348055800442.98,14782,6867164,5957
2016-07-29,18362,140360519.25,40.49,368937,35176.875,19.6500413466606,5555,2.61406696101519,0.00063,6958494684835.97,8917,6441243,6242
2016-07-30,15092,136531107.987261,40.37,377116,32699.53125,11.1171376770426,4385,2.7760873382,0.000441,7515459638362.39,8234,5582048,5853
2016-07-31,16525,129102917.711111,39.41,382146,35503.75,12.6077493909878,4617,2.7887771683,0.000441,7077624582790.14,8627,6121151,6307
2016-08-01,20533,147384208.380342,39.41,383441,36351.875,14.4958257349916,5283,2.685,0.00044846,8791084043093.21,11109,6669785,6374
2016-08-02,26061,194587057.753623,38.57,396889,37578.125,18.7776739281719,8581,3.314193076,0.000441,12112839968575.9,14792,7480442,6551
2016-08-03,28575,229104838.215385,38.44,397777,35055,21.5209123237258,8670,3.1834163918,0.00042,14985928285930,16541,7830916,6113
2016-08-04,23927,213790003.747863,38.13,413683,32255.625,17.9889128155561,6915,3.0227272803,0.00042,12646706833674.5,14488,6996458,5640
2016-08-05,18801,193413580.675676,38.07,440341,35111.5625,13.7970808780998,5062,2.9850295725,0.00042,10730709614845.1,11096,6542905,6024
2016-08-06,19205,213216893.27037,37.83,445946,36771.875,13.5784430224396,4818,3.23840034616,0.00042,11498007390483.5,11313,6542298,6289
2016-08-07,18929,223018122.55814,36.91,475268,34467.34375,12.4397919057688,4951,3.651530571,0.00042,11254398772718.7,11036,6258697,5839
2016-08-08,15872,178398264.328767,36.85,479144,35828.28125,12.3903560272821,4529,3.084333498,0.00042,10675130619812.4,9311,6218268,6131
2016-08-09,17414,179553529.651282,36.46,486080,31986.875,13.7183403438034,5868,2.99862370514,0.00042,9803539624017.87,9927,6074901,5635
2016-08-10,15786,160861075.426901,36.31,487773,33414.0625,11.5426455089716,4526,2.93955495716,0.000420916113555,8442882393547.19,8988,5853515,6001
2016-08-11,16122,142578347.545946,36.24,513562,34447.1875,11.3354066707483,4692,2.40749408124133,0.000441,8574225531431.46,8744,6010662,6250
2016-08-12,15467,152472596.583784,36.18,528148,33269.53125,10.4003020860685,3907,2.6330425576,0.00042,9578613766128.07,9027,5710950,6036
2016-08-13,14427,154482327.850267,36.17,545120,33361.5625,9.74120400255672,3436,2.559024549,0.000440341936272,9358607282351.32,8012,5513464,6054
2016-08-14,14922,154932588.891192,36,547454,33261.25,24.4133446355771,3516,2.510433797355,0.00042,9358607282351.32,8611,6257757,6056
2016-08-15,14922,160200121.086021,35.49,548805,33262.1875,9.9130656122808,3662,2.66169096956,0.00042,9992171971670.27,8782,5579203,6025
2016-08-16,17963,154988019.94086,35.01,556114,33623.4375,13.2951076500998,4720,2.1280903501,0.000441,9887548096296.26,9714,6085166,5997
2016-08-17,14460,154325754.275862,34.97,564097,33452.8125,9.68556444559643,3727,2.61448101126656,0.00042,9903526417766.72,8571,5482881,5988
2016-08-18,12799,144394426.118343,34.91,573276,33878.4375,8.16487811713276,3476,2.5665930168942,0.00042,9511958444906.08,7606,5307119,5986
2016-08-19,12560,139460031.418994,34.85,574209,34077.5,8.37700998913908,3361,2.58272287597869,0.00042,9254018100718.62,7182,5391632,5941
2016-08-20,12964,148388470.367816,34.83,574708,35246.09375,8.53825856974323,3404,2.71879428026,0.00042,9257509249783.71,7506,5527754,6135
2016-08-21,12662,145709562.209302,34.78,579338,33357.34375,8.24494349211844,3276,2.56828572360734,0.00042,9700886561266.72,7347,5241504,6026
2016-08-22,13503,143824239.928144,34.69,582894,33181.25,9.55948216086573,3518,2.4439313657,0.000441,9651793665506.05,7760,5364773,5986
2016-08-23,13933,139400589.48125,34.46,609461,33152.96875,9.33990499447966,3609,2.288469136,0.00045697344,9530993742144.02,7839,5440845,6014
2016-08-24,12890,134322288.819444,34.44,613841,32754.6875,8.89163437491668,3415,2.38157328465,0.000441,9090477813436.48,7519,5239835,5905
2016-08-25,12931,120141930.744526,34.43,626060,33195.78125,9.03404699238363,3665,2.3012911872,0.000441,8356245484590.75,7535,5402845,5938
2016-08-26,12362,114012906.048611,34.32,632975,32770.625,8.24544027370711,3056,2.20703711589,0.0004581,8514138490262.04,7125,5153951,6059
2016-08-27,11650,119714077.866667,34.09,642421,33052.65625,7.31959516239384,3015,2.13071941310131,0.00042,8797645841081.44,6853,5046981,6049
2016-08-28,11708,112471376.931818,33.99,671820,32619.6875,7.45058709034401,3147,1.967370531075,0.000441,8512523097856.88,6847,4983109,5955
2016-08-29,11768,110337938.857143,33.75,677927,32892.65625,8.09737045277037,3259,1.9140279048,0.000441,8167245858012.86,6689,5156135,5971
2016-08-30,12860,104790257.419355,33.64,686642,33150.3125,9.76998073545319,3878,1.80982600437217,0.00052521,7866997967362.04,6875,5358209,6000
2016-08-31,13091,103920167.186441,33.21,706717,32610.3125,9.32275601144031,4112,1.85664709952,0.0004581,7464567417306.29,7093,5328111,5920
2016-09-01,15357,99636108.4444444,33.06,715948,34188.90625,11.623986255283,4506,1.81829671289,0.00052521,7301149323558.77,7989,5822845,6165
2016-09-02,22958,122222552.388489,33,727877,33787.5,24.8058422257353,3609,1.33451199285406,0.00066446,8061582925673.61,8382,7128007,6058
2016-09-03,12484,117190722.537313,32.83,734278,32461.40625,8.19793091831646,3120,1.98838646203716,0.00044855,7811812584851.83,7085,5158460,5893
2016-09-04,12763,111843202.794521,32.5,738198,33774.53125,8.92353716437681,3057,1.89558494310439,0.000483,7652316845926.51,7183,5312688,6161
2016-09-05,13993,122543662.151724,32.46,742687,33558.59375,9.36939327964956,3320,1.9806850998,0.000423590347866,8395143726673.15,8030,5484250,6125
2016-09-06,14696,121863866.979592,32.16,745522,32971.40625,9.43950047066432,4223,2.18275500580323,0.000446308747353,8555510956167.06,8823,5456146,6066
2016-09-07,18314,122967973.175676,32.09,748170,33533.75,12.1826728810772,6675,2.090551117725,0.000463343999958,8567207211213.7,9945,6200438,6100
2016-09-08,16044,123856222.472222,32.03,781116,33389.0625,11.1667788276157,4099,1.76842743644,0.00060506,8675760317114.82,8947,5782793,6032
2016-09-09,15051,118599876.8,32.02,787404,33401.40625,9.91516777281735,3550,1.80322455474,0.000442747241664,8389932264276.92,8630,5596159,5992
2016-09-10,12796,117220745.915493,31.77,796887,33043.90625,8.27238783651737,2998,1.69821745556316,0.00053912,8431771746866.04,7504,5209732,6029
2016-09-11,14402,118980288.865672,31.54,797981,32813.90625,9.67886689448575,3229,1.7870880127,0.00063,8256349614226.78,8401,5367770,5953
2016-09-12,14818,112385890.348485,31.18,798289,32936.09375,10.7994536307898,3050,1.56578980776321,0.00063,7951264857690.37,8364,5503792,5946
2016-09-13,14324,110551110.232558,30.91,838558,33528.59375,9.80104230680198,3192,1.58122858493627,0.00063,7753583696368.67,8289,5504470,5959
2016-09-14,14151,108293334,30.79,876236,33727.34375,9.29924322552046,3063,1.57865538198,0.00060238,7709867117089.56,8209,5495602,6038
2016-09-15,14375,108223173.328125,30.77,878220,33774.21875,9.8162063322286,3003,1.6032942504,0.00063,7812106215420.03,8275,5512399,6015
2016-09-16,14773,107750045.090909,30.59,888228,33644.375,10.2079734252698,3211,1.5461953792,0.00063,7732909005124.61,8705,5588838,6010
2016-09-17,14457,111151501,30.49,921969,33855.3125,10.2155618851548,2973,1.58217339456,0.00060506,7780659581943.7,8284,5548372,6041
2016-09-18,13359,111328400,30.44,928586,34278.4375,8.74984765734668,2871,1.67400195809104,0.00063,7861205473600.06,7946,5405323,6134
2016-09-19,13775,110799296.4375,30.4,948543,32537.96875,8.70844566021755,2955,1.52740890324,0.00055902,8191008758421.83,8124,5235886,5863
2016-09-20,13473,106796602.256,30.29,952217,32528.90625,9.12160375573197,3285,1.50012580213493,0.00063,6985584791958.24,7821,5249679,5899
2016-09-21,14482,104760569.606557,30.04,972037,33369.375,9.60487143773132,3363,1.37903260184,0.000487032,6969410930998.65,9033,5564148,6105
2016-09-22,15007,103114100.368,30.03,976848,33909.0625,10.1602801431715,3059,1.349961049,0.00063,7362614458963.38,8522,5611642,6173
2016-09-23,13420,105343287.298387,29.89,983089,32166.875,8.8325941435147,2719,1.436971574375,0.00063,7938198025855.05,8035,5105007,5971
2016-09-24,11055,104482246.24,29.88,984448,31956.5625,7.20908674280234,2587,1.47585637428868,0.00063,7445798311124.63,6572,4824187,5886
2016-09-25,12710,105413295.454545,29.77,985487,33767.8125,8.52774287221127,2552,1.44519095909188,0.00060238,7230418408954.12,7393,5297578,6166
2016-09-26,12504,101947902.65,29.65,988691,32837.1875,8.40547536929007,2656,1.3867430423,0.00063,7719376446653.65,7468,5113726,6047
2016-09-27,12476,101304447,29.65,1012830,32200.15625,8.29242966355433,2805,1.43420931555707,0.00063,7304439855583.5,7357,5067026,5913
2016-09-28,12400,100884360.96,29.64,1014370,33248.59375,8.4468493783779,2725,1.45112898,0.00063,7528811173636.36,7215,5153393,6141
2016-09-29,12649,105338371.062992,29.62,1017020,33473.75,8.75135836443323,2568,1.450040275,0.00063,7820342960549.68,7335,5245508,6140
2016-09-30,13706,106872252.801587,29.28,1030080,32838.28125,9.48030050046039,2722,1.441836715,0.00063,7840113125008.65,7962,5282591,5976
2016-10-01,12775,106703924.823529,29.24,1030590,32817.34375,8.57550220317733,2545,1.46776658868,0.00063,7598699277680.18,7407,5128583,5985
2016-10-02,14339,100869948,29.22,1033890,33124.6875,9.79310273533661,2708,1.3225462341,0.00063,7482834650774.37,8187,5398110,5979
2016-10-03,14134,100993497,29.16,1034130,34007.03125,9.54517571372444,2496,1.29622741584,0.00063,7371775737439.07,8276,5460409,6111
2016-10-04,14369,100717079.025862,29.1,1046830,33687.65625,10.1999018901494,2582,1.27884721832,0.00063,7598208532833.75,8523,5481665,6060
2016-10-05,15381,98059439.0252101,28.77,1067180,33605,10.1848884805026,2692,1.2383585684,0.00063,7495626770882.65,9183,5583829,6044
2016-10-06,15255,101121165.384615,28.76,1078790,33341.09375,7.97922138861129,2774,1.3139455805,0.00042,8065631679344.58,8980,5485197,6138
2016-10-07,14490,99059929,28.47,1080040,31887.5,7.84585330311947,2755,1.2806997482749,0.00042,8024137802027.8,8573,5287464,5886
2016-10-08,14044,99387010.3728814,28.38,1085530,33102.03125,7.36226600703799,2557,1.3016988387,0.00042,7580426557017.29,8360,5326754,6103
2016-10-09,14199,99868683.7777778,28.05,1100000,32941.09375,7.4276243664921,2499,1.28768415208,0.00042,8190254202308.34,8414,5309216,6160
2016-10-10,14272,99404330.3217391,27.95,1115620,32837.03125,7.79203941008316,2634,1.286576529615,0.00042,8498460924926.63,8394,5308614,6100
2016-10-11,14022,97147810.8636364,27.9,1119820,31770.78125,8.69062159419484,2715,1.256179638,0.000441,8554799004925.96,8743,5209992,5941
2016-10-12,17065,92883199.3269231,27.75,1130150,33465.3125,29.8032578228584,2407,0.603844999999962,0.0005826,7025763323805.69,7743,5957983,5775
2016-10-13,27590,88210114.5346535,27.21,1142370,35628.4375,79.8058415914486,2674,0,0.002063088392399,6753482660151.49,9830,7508082,6075
2016-10-14,22375,85734607.0098116,26.89,1148440,31961.25,39.0055062063504,2731,1.01231005372622,0.00060238,7390660647271.87,9357,6064438,5986
2016-10-15,16774,84152830.8449343,26.83,1153900,32917.03125,16.127763846748,2702,1.07950474867846,0.0005826,7673459640085.38,8528,5573284,6170
2016-10-16,17876,84390790.0209558,26.74,1161360,33162.8125,19.8762925698808,3338,1.07288964663645,0.0005826,7904351562636.27,8950,5825568,6158
2016-10-17,19971,102383105.046729,26.48,1164420,32478.28125,22.0000008655118,3738,1.27995320040956,0.0005826,8479683075373.58,9907,6013062,6005
2016-10-18,18346,91011016.245283,26.01,1172880,31914.84375,19.3091776524476,3080,1.19283839137755,0.0004581,7781914405071.66,9570,5727355,5962
2016-10-19,19459,90498108.7428572,25.95,1205640,33458.59375,54.3437947557817,3092,1.1117442392,0.00058532,7496605702574.66,8888,6184574,5844
2016-10-20,21527,89578548.0288462,25.74,1227740,34612.34375,29.2178826188645,4812,1.2013975785,0.000525576640673,7944111307651.44,11809,6517431,6298
